assigned,ingame,calculated
0,0.0,-7.338606692330885e-06
1,0.01,0.009899646251607663
2,0.02,0.019715508948295213
3,0.029,0.029441087603991223
4,0.039,0.03907721263048747
5,0.049,0.048624706801628115
6,0.058,0.05808438532357796
7,0.067,0.06745705590441875
8,0.077,0.0767435188231318
9,0.086,0.08594456699790476
10,0.095,0.09506098605385105
11,0.104,0.10409355439008561
12,0.113,0.11304304324618386
13,0.122,0.12191021676804825
14,0.131,0.13069583207313296
15,0.139,0.13940063931510382
16,0.148,0.1480253817478835
17,0.157,0.1565707957891258
18,0.165,0.16503761108307513
19,0.173,0.17342655056288003
20,0.182,0.18173833051231592
21,0.19,0.189973660626943
22,0.198,0.19813324407471433
23,0.206,0.20621777755599702
24,0.214,0.21422795136307204
25,0.222,0.222164449439068
26,0.23,0.23002794943637184
27,0.238,0.23781912277447081
28,0.246,0.24553863469729353
29,0.253,0.2531871443300058
30,0.261,0.26076530473530024
31,0.268,0.26827376296914185
32,0.276,0.27571316013602587
33,0.283,0.2830841314437169
34,0.29,0.2903873062574822
35,0.298,0.29762330815384075
36,0.305,0.3047927549737901
37,0.312,0.3118962588755717
38,0.319,0.3189344263869339
39,0.326,0.32590785845693104
40,0.333,0.3328171505072183
41,0.34,0.3396628924829026
42,0.346,0.34644566890291206
43,0.353,0.3531660589099016
44,0.36,0.3598246363197136
45,0.366,0.3664219696703567
46,0.373,0.37295862227056087
47,0.379,0.3794351522478696
48,0.386,0.3858521125963057
49,0.392,0.3922100512235729
50,0.399,0.3985095109978487
51,0.405,0.40475102979413424
52,0.411,0.41093514054017843
53,0.417,0.4170623712619905
54,0.423,0.42313324512891115
55,0.429,0.42914828049829257
56,0.435,0.4351079909597534
57,0.441,0.44101288537904015
58,0.447,0.4468634679414628
59,0.453,0.45266023819495316
60,0.458,0.45840369109271695
61,0.464,0.46409431703549175
62,0.47,0.469732601913429
63,0.475,0.47531902714756813
64,0.481,0.4808540697309509
65,0.486,0.4863382022693453
66,0.492,0.4917718930216064
67,0.497,0.49715560593964647
68,0.503,0.5024898007080566
69,0.508,0.5077749327833555
70,0.513,0.5130114534328759
71,0.518,0.5181998097733035
72,0.523,0.5233404448088418
73,0.528,0.528433797469046
74,0.534,0.5334803026462964
75,0.539,0.5384803912329396
76,0.543,0.5434344901580676
77,0.548,0.5483430224239791
78,0.553,0.5532064071422955
79,0.558,0.558025059569744
80,0.563,0.5627993911436221
81,0.568,0.5675298095169159
82,0.572,0.5722167185931156
83,0.577,0.5768605185606984
84,0.581,0.5814616059273056
85,0.586,0.5860203735535872
86,0.591,0.5905372106867532
87,0.595,0.5950125029938078
88,0.599,0.5994466325944774
89,0.604,0.6038399780938442
90,0.608,0.608192914614663
91,0.613,0.6125058138293982
92,0.617,0.6167790439919543
93,0.621,0.6210129699691267
94,0.625,0.6252079532717454
95,0.629,0.6293643520855481
96,0.633,0.6334825213017619
97,0.638,0.6375628125474104
98,0.642,0.6416055742153288
99,0.646,0.6456111514939162
100,0.65,0.6495798863966094
101,0.654,0.6535121177910819
102,0.657,0.6574081814281856
103,0.661,0.6612684099706092
104,0.665,0.6650931330212878
105,0.669,0.6688826771515435
106,0.673,0.6726373659289748
107,0.676,0.676357519945076
108,0.68,0.6800434568426164
109,0.684,0.6836954913427596
110,0.687,0.6873139352719362
111,0.691,0.6908990975884723
112,0.694,0.6944512844089634
113,0.698,0.697970799034416
114,0.701,0.7014579419761423
115,0.705,0.7049130109814256
116,0.708,0.7083363010589336
117,0.712,0.711728104503914
118,0.715,0.7150887109231503
119,0.718,0.7184184072596882
120,0.722,0.7217174778173412
121,0.725,0.724986204284958
122,0.728,0.72822486576048
123,0.731,0.7314337387747685
124,0.735,0.7346130973152214
125,0.738,0.73776321284916
126,0.741,0.7408843543470132
127,0.744,0.7439767883052819
128,0.747,0.7470407787692924
129,0.75,0.7500765873557466
130,0.753,0.7530844732750526
131,0.756,0.7560646933534624
132,0.759,0.7590175020549981
133,0.762,0.7619431515031838
134,0.765,0.7648418915025662
135,0.768,0.7677139695600486
136,0.771,0.7705596309060228
137,0.773,0.7733791185153069
138,0.776,0.7761726731278962
139,0.779,0.7789405332695114
140,0.782,0.78168293527197
141,0.784,0.7844001132933628
142,0.787,0.7870922993380516
143,0.79,0.7897597232764726
144,0.792,0.7924026128647677
145,0.795,0.7950211937642291
146,0.798,0.7976156895605719
147,0.8,0.8001863217830184
148,0.803,0.8027333099232168
149,0.805,0.8052568714539818
150,0.808,0.8077572218478628
